nick,country,teams,maps_played,rounds_played,kd_difference,kd_ratio,total_kills,headshot_percentage,total_deaths,kills_per_round,deaths_per_round
Benkai,Singapore,"['BOOT-d[S]', 'BOOT', 'dream[S]cape']",603,15560,2046,1.2,12164,46.7,10118,0.78,0.65
Jame,Russia,"['AVANGAR', 'Virtus.pro']",1154,30609,5191,1.31,22028,25.2,16837,0.72,0.55
XELLOW,Romania,['Nexus'],1054,27629,3258,1.18,21580,40.8,18322,0.78,0.66
Texta,Australia,"['Chiefs', 'Athletico', 'Dark Sided']",625,15713,1750,1.16,12510,40.3,10760,0.8,0.68
mhL,Poland,"['MOUZ NXT', 'AGO']",458,12268,1592,1.2,9397,28.4,7805,0.77,0.64
El1an,Russia,"['Entropiq', 'Winstrike', 'EPG']",1262,33663,4681,1.23,25346,27.2,20665,0.75,0.61
oskar,Czech Republic,"['MOUZ', 'SINNERS', 'HellRaisers']",1458,38450,4848,1.2,29326,30.5,24478,0.76,0.64
kennyS,France,"['G2', 'Envy', 'Titan']",1852,48898,6331,1.21,37067,31.2,30736,0.76,0.63
frozen,Slovakia,"['MOUZ', 'eXtatus']",1168,30540,3450,1.17,23231,54.8,19781,0.76,0.65
huNter-,Bosnia and Herzegovina,"['G2', 'Valiance', 'Binary Dragons']",1433,37829,4137,1.16,29347,49.4,25210,0.78,0.67
mantuu,Poland,"['OG', 'ALTERNATE aTTaX', 'PANTHERS']",682,18286,2345,1.21,13659,35.8,11314,0.75,0.62
yuurih,Brazil,['FURIA'],982,25589,3107,1.19,19381,44.4,16274,0.76,0.64
erkaSt,Mongolia,"['Grayhound', 'TIGER', 'Immunity']",859,22286,2504,1.17,17206,50.2,14702,0.77,0.66
Freeman,Hong Kong,"['ViCi', 'TYLOO', 'VG.Flash']",742,18909,2151,1.18,14338,49.3,12187,0.76,0.64
INS,Australia,"['Renegades', 'Chiefs', 'ORDER', 'Tainted Minds']",932,23654,2654,1.17,17975,42.4,15321,0.76,0.65
chelleos,New Zealand,"['Paradox', 'Rooster', 'madlikewizards']",559,14429,1455,1.15,11255,32,9800,0.78,0.68
vsm,Brazil,"['00NATION', 'DETONA']",533,14130,1485,1.16,10883,47,9398,0.77,0.67
woxic,Turkey,"['Eternal Fire', 'HellRaisers', 'MOUZ', 'DarkPassage']",1131,29650,3684,1.2,21900,32.3,18203,0.74,0.61
liTTle,Russia,"['forZe', 'RuSh3D', 'Spartak', 'Enso']",458,12159,1550,1.2,9317,27.7,7766,0.77,0.64
ropz,Estonia,['MOUZ'],1090,28804,3640,1.21,21373,51.7,17733,0.74,0.62
dream3r,Bulgaria,"['SKADE', 'E-frag.net', 'Fiend']",1233,32271,4176,1.21,24015,49.7,19839,0.74,0.61
kNgV-,Brazil,"['MIBR', 'INTZ']",827,21606,2406,1.17,16548,32.7,14142,0.77,0.65
Jamppi,Finland,"['SJ', 'ENCE']",503,13449,1408,1.16,10302,31.8,8894,0.77,0.66
wrath,United States,"['New Identity', 'Secret Club', 'BlackOut']",525,13568,1239,1.13,10634,50.1,9395,0.78,0.69
xsepower,Russia,"['K23', 'forZe']",1219,32700,4556,1.24,23591,24.9,19035,0.72,0.58
oSee,United States,"['Extra Salt', 'Singularity', 'Cloud9']",1067,27680,3361,1.19,20626,31.8,17265,0.75,0.62
PTC,Thailand,"['Lucid Dream', '5POWER']",476,12393,1408,1.18,9304,36.1,7896,0.75,0.64
GuardiaN,Slovakia,"['Natus Vincere', 'FaZe']",1568,41069,4811,1.19,30375,29.6,25564,0.74,0.62
Twistzz,Canada,"['FaZe', 'Liquid']",1336,35058,3874,1.18,25698,62.3,21824,0.73,0.62
NEOFRAG,Czech Republic,['SINNERS'],644,17257,1550,1.13,13155,49,11605,0.76,0.67
splashske,Singapore,"['BOOT-d[S]', 'HZ', 'BOOT', 'dream[S]cape']",722,18651,1811,1.15,14145,38.4,12334,0.76,0.66
dgt,Uruguay,['9z'],403,10643,1319,1.2,7848,49.7,6529,0.74,0.61
zorte,Russia,"['forZe', 'Unique']",684,18227,2218,1.2,13326,36.9,11108,0.73,0.61
ottoNd,Finland,"['HAVU', 'Valiance', 'CR4ZY', 'c0ntact']",853,22545,2631,1.19,16676,26.8,14045,0.74,0.62
FREDDyFROG,Sweden,"['Chaos', 'Red Reserve', 'Apeks', 'Japaleno', 'Galaxy Racer']",1207,32156,3616,1.18,23743,40.3,20127,0.74,0.63
Brehze,United States,"['Evil Geniuses', 'NRG']",1164,30296,2781,1.14,23029,52.4,20248,0.76,0.67
Infinite,United States,['Party Astronauts'],809,21112,1993,1.14,15744,50.9,13751,0.75,0.65
TenZ,Canada,"['Bad News Bears', 'ATK']",401,10399,839,1.12,7931,51.3,7092,0.76,0.68
f0rest,Sweden,"['Dignitas', 'NIP']",2083,54162,5669,1.16,40884,51.9,35215,0.75,0.65
CeRq,Bulgaria,"['Evil Geniuses', 'NRG', 'Outlaws']",1199,31114,3425,1.18,22812,27.9,19387,0.73,0.62
Olivia,Thailand,"['Beyond', 'Alpha Red', 'Signature']",634,16189,1565,1.15,12279,37,10714,0.76,0.66
poizon,Bulgaria,"['Complexity', 'Windigo', 'Bpro']",1101,29160,2855,1.15,21485,33.6,18630,0.74,0.64
mertz,Denmark,"['North Academy', 'Heroic', 'North', 'Nordavind', 'Singularity']",955,25333,2594,1.16,19077,32.5,16483,0.75,0.65
ekul,Australia,"['Paradox', 'SYF']",449,11608,1003,1.13,8845,36.6,7842,0.76,0.68
nawwk,Sweden,"['Apeks', 'GamerLegion', 'NIP', 'x6tence Galaxy']",855,22808,2649,1.19,16778,35.3,14129,0.74,0.62
WARDELL,Canada,"['Ghost', ""Bee's Money Crew"", 'Orgless']",609,15901,1648,1.17,11627,27.2,9979,0.73,0.63
swag,United States,"['Swole Patrol', 'Torqued', 'iBUYPOWER', 'Lazarus']",556,14447,1629,1.18,10527,49.5,8898,0.73,0.62
hades,Poland,"['ENCE', 'Wisla Krakow']",555,14898,1711,1.18,10992,29.8,9281,0.74,0.62
mir,Russia,"['Spirit', 'Vega Squadron', 'Gambit']",980,25665,2534,1.15,19402,52.2,16868,0.76,0.66
HEN1,Brazil,"['Immortals', 'FURIA', 'Luminosity']",1076,27940,3457,1.21,19719,28.6,16262,0.71,0.58
aliStair,Australia,"['Renegades', 'ORDER', 'Chiefs']",1043,26510,2838,1.17,19355,35.1,16517,0.73,0.62
h4rn,Bulgaria,"['FATE', 'Fiend']",511,13616,1525,1.18,9803,29.1,8278,0.72,0.61
Ax1Le,Russia,"['Gambit Youngsters', 'Gambit']",920,24383,2458,1.16,17753,48.9,15295,0.73,0.63
dumau,Brazil,"['GODSENT', 'Yeah']",432,11453,1265,1.18,8417,41.3,7152,0.73,0.62
Calyx,Turkey,"['Eternal Fire', 'Space Soldiers', 'DarkPassage']",1066,27822,2847,1.16,20404,56.9,17540,0.73,0.63
moose,Canada,"['eUnited', 'Rise Nation']",752,19559,1975,1.16,14503,44.1,12528,0.74,0.64
nython,Brazil,"['paiN', 'RED Canids', 'Paquetá']",477,12731,1272,1.15,9580,37.9,8308,0.75,0.65
xccurate,Indonesia,"['TYLOO', 'Recca', 'BTRG', 'NKT']",698,18113,1724,1.15,13334,31.2,11610,0.74,0.64
mixwell,Spain,"['OpTic', 'Movistar Riders']",840,21804,1911,1.13,16275,38.1,14364,0.75,0.66
allu,Finland,"['ENCE', 'NIP', 'FaZe']",1610,42162,4305,1.16,31240,28.6,26935,0.74,0.64
electroNic,Russia,"['Natus Vincere', 'FlipSid3']",1279,33752,3016,1.14,25165,50.5,22149,0.75,0.66
Farlig,Denmark,"['Copenhagen Flames', 'FunPlus Phoenix', 'GODSENT']",681,18202,1822,1.16,13265,33.4,11443,0.73,0.63
syrsoN,Germany,"['BIG', 'ALTERNATE aTTaX', 'Sprout']",1688,44789,4493,1.16,32760,29.6,28267,0.73,0.63
lollipop21k,Belarus,"['Nemiga', 'GoodJob']",1149,30740,2490,1.12,23157,49.2,20664,0.75,0.67
floppy,United States,"['Cloud9', 'Singularity']",791,20779,1735,1.13,15453,49.4,13718,0.74,0.66
PwnAlone,United States,"['Party Astronauts', 'New England Whalers', 'High Coast']",888,23148,2189,1.15,16836,31.8,14647,0.73,0.63
Spinx,Israel,"['ENCE', 'c0ntact']",405,10737,943,1.14,7918,56.9,6975,0.74,0.65
GeT_RiGhT,Sweden,['NIP'],1745,45030,4298,1.15,33271,49.3,28973,0.74,0.64
JUGi,Denmark,"['Heroic', 'OpTic', 'Tricked', 'North']",940,24427,2676,1.18,17527,27.8,14851,0.72,0.61
dexter,Australia,"['MOUZ', 'Grayhound', 'Renegades']",956,24578,2061,1.13,18309,48.8,16248,0.74,0.66
Cooper,United States,"['Swole Patrol', 'eUnited', 'Triumph']",752,19490,1968,1.16,14332,32.3,12364,0.74,0.63
Sonic,South Africa,"['Bravado', 'Extra Salt', 'Cloud9']",940,24238,2217,1.14,17758,46.6,15541,0.73,0.64
JOTA,Brazil,"['MIBR', 'Bravos', 'Keyd', 'Santos']",387,10061,930,1.14,7352,41.5,6422,0.73,0.64
zehN,Finland,"['GODSENT', 'HAVU', 'PENTA', 'FunPlus Phoenix']",1073,28305,2384,1.13,20665,46,18281,0.73,0.65
ZOREE,Finland,"['HAVU', 'iGame.com', 'SJ']",1656,43985,4449,1.16,31759,32.2,27310,0.72,0.62
NAF,Canada,"['Liquid', 'OpTic']",1543,40472,3959,1.16,29440,41.8,25481,0.73,0.63
gas,China,"['Wings Up', 'LGD', 'EDG', 'Aster']",445,11621,709,1.09,9038,60.3,8329,0.78,0.72
cynic,United States,"['Party Astronauts', 'Triumph']",625,16171,1541,1.15,11994,40.7,10453,0.74,0.65
ryx,United States,"['Echo Fox', 'Splyce', 'Ghost', 'Dignitas', 'Tempo Storm', 'Conquest']",491,12856,1181,1.14,9797,36.3,8616,0.76,0.67
mezii,United Kingdom,"['fnatic', 'Endpoint', 'GamerLegion', 'Cloud9', 'Vexed']",500,13551,1240,1.14,9829,49.8,8589,0.73,0.63
BL1TZ,Australia,"['Chiefs', 'Legacy', 'AVANT', 'Funky Monkeys']",732,18819,1628,1.13,13957,43,12329,0.74,0.66
ScreaM,Belgium,"['Envy', 'G2', 'Titan', 'VeryGames']",1430,37087,3105,1.13,27501,68.1,24396,0.74,0.66
EliGE,United States,['Liquid'],1582,41424,3014,1.11,31338,48.9,28324,0.76,0.68
HaZR,Australia,"['Looking For Org', 'AVANT', 'Breakaway', 'Dire Wolves']",767,19621,1331,1.1,14687,55.9,13356,0.75,0.68
faveN,Germany,"['Sprout', 'EURONICS']",1315,35117,3080,1.13,25954,54.4,22874,0.74,0.65
dennyslaw,Bulgaria,['SKADE'],1121,30168,2782,1.14,22051,31.4,19269,0.73,0.64
biguzera,Brazil,['paiN'],575,15308,1437,1.15,11066,51.3,9629,0.72,0.63
nex,Germany,"['BIG', 'MOUZ']",1074,28389,2435,1.13,21063,51.5,18628,0.74,0.66
fer,Brazil,"['SK', 'MIBR', 'Luminosity']",1391,36269,2767,1.11,27300,44.9,24533,0.75,0.68
k0nfig,Denmark,"['Dignitas', 'OpTic', 'Complexity', 'North']",1512,40027,2502,1.09,30190,55.8,27688,0.75,0.69
valde,Denmark,"['OG', 'North', 'Heroic']",1230,32676,2826,1.13,24018,46.8,21192,0.74,0.65
dupreeh,Denmark,"['Astralis', 'TSM']",1903,49550,4374,1.14,36431,50.6,32057,0.74,0.65
nukkye,Lithuania,"['Imperial', 'HellRaisers', 'NoChance']",592,15492,1330,1.13,11227,39.2,9897,0.72,0.64
Attacker,China,"['TYLOO', 'Flash']",1244,32013,2709,1.13,23926,46.4,21217,0.75,0.66
junior,United States,"['Complexity', 'Triumph', 'Bad News Bears', 'FURIA']",463,12120,1338,1.18,8596,29.3,7258,0.71,0.6
exit,Brazil,"['MIBR', 'Sharks']",696,17883,1848,1.17,12707,45.3,10859,0.71,0.61
Magisk,Denmark,"['Astralis', 'SK', 'Dignitas']",1361,35822,3210,1.14,25858,47.5,22648,0.72,0.63
Savage,China,"['VG.CyberZen', 'ViCi', 'CyberZen', '5POWER']",836,21434,1926,1.14,15647,37,13721,0.73,0.64
Machinegun,Mongolia,"['TheMongolz', 'Mazaalai', 'Splyce']",421,10714,671,1.09,8143,50,7472,0.76,0.7
DJOXiC,Serbia,"['Binary Dragons', 'iNation', 'Valiance']",489,12531,1204,1.15,9002,29.8,7798,0.72,0.62
Detrony,South Africa,['Bravado'],412,10449,862,1.13,7633,34.7,6771,0.73,0.65
Summer,China,"['TYLOO', 'Flash']",1251,32235,2836,1.14,23556,48.8,20720,0.73,0.64
Hatz,Australia,"['Renegades', 'ORDER', 'Kings']",933,23765,2055,1.14,17120,50.8,15065,0.72,0.63
keev,Germany,"['ALTERNATE aTTaX', 'BIG', 'KILLERFISH']",594,15524,1217,1.12,11408,29.1,10191,0.73,0.66
felps,Brazil,"['SK', 'GODSENT', 'Immortals', 'Tempo Storm']",998,25554,1601,1.09,19490,43.9,17889,0.76,0.7
draken,Sweden,"['Epsilon', 'NIP', 'Red Reserve']",1093,28857,2660,1.15,20821,31,18161,0.72,0.63
sergej,Finland,"['GORILLAZ', 'ENCE', 'HAVU']",776,20425,1816,1.14,14855,48.2,13039,0.73,0.64
pz,Australia,"['VERTEX', 'TRUCKERS WITH ATTITUDE', 'Airborne']",426,11132,949,1.14,7962,29.3,7013,0.72,0.63
ShahZaM,United States,"['Complexity', 'Misfits', 'Echo Fox', 'Conquest', 'OpTic']",966,25252,2058,1.13,18509,34,16451,0.73,0.65
jayzaR,Sweden,"['Valiance', 'Enyoy']",525,13870,953,1.1,10382,36.3,9429,0.75,0.68
FL1T,Russia,['forZe'],1214,32761,2768,1.13,24004,46.9,21236,0.73,0.65
Ryxxo,Denmark,"['Tricked', 'Singularity']",834,21932,1896,1.14,15729,33,13833,0.72,0.63
MICHU,Poland,"['Virtus.pro', 'Kinguin', 'CSGL']",1732,45397,3065,1.1,33874,50.7,30809,0.75,0.68
hAdji,France,"['LDLC', 'EnVyUs Academy', '3DMAX']",1128,29772,2241,1.11,21859,48.9,19618,0.73,0.66
Rickeh,Australia,"['ORDER', 'CLG', 'Rogue', 'Renegades']",948,24829,2351,1.15,17589,37.8,15238,0.71,0.61
ptr,United States,"['Bad News Bears', 'NRG', 'Complexity']",1132,29624,2697,1.15,20902,26,18205,0.71,0.61
slaxz-,Germany,"['Sprout', 'ALTERNATE aTTaX']",853,23053,1991,1.14,16323,29.6,14332,0.71,0.62
Impulse,Serbia,"['Valiance', 'ONYX', 'lvlUP', 'RESISTANCE']",766,20371,1598,1.12,14644,35.4,13046,0.72,0.64
dapr,United States,['eUnited'],594,15426,1002,1.1,11313,44.1,10311,0.73,0.67
nicoodoz,Denmark,['Copenhagen Flames'],695,18671,1729,1.15,13211,31.3,11482,0.71,0.61
YEKINDAR,Latvia,"['pro100', 'Virtus.pro', 'EPG']",1078,28645,1449,1.07,21415,59.2,19966,0.75,0.7
Liazz,Australia,"['Renegades', 'ORDER', '100 Thieves', 'Kings', 'Athletico', 'EXTREMUM']",964,24883,2106,1.14,17464,45.8,15358,0.7,0.62
meyern,Argentina,"['Furious', 'MIBR', 'Isurus', 'Sharks']",426,11104,711,1.1,8080,54.1,7369,0.73,0.66
NaToSaphiX,Denmark,"['Sprout', 'Nordavind']",948,25338,2439,1.16,17805,36.8,15366,0.7,0.61
shox,France,"['G2', 'Vitality', 'Envy']",1999,52420,3832,1.11,38385,48.8,34553,0.73,0.66
iDISBALANCE,Russia,"['Nemiga', 'Spirit']",856,22672,2039,1.14,16215,27,14176,0.72,0.63
autimatic,United States,"['Cloud9', 'Gen.G']",1166,30439,2245,1.11,22601,44.3,20356,0.74,0.67
fejtZ,Estonia,"['SMASH', 'ArchAngels']",735,19506,1358,1.1,14402,46,13044,0.74,0.67
jks,Australia,"['Renegades', 'Complexity', '100 Thieves']",1183,30912,2347,1.12,21807,52.9,19460,0.71,0.63
smike,Ukraine,"[""spray'n'pray"", 'pro100', 'ACG', 'eXplosive', 'k1ck']",480,12461,655,1.08,9299,33.1,8644,0.75,0.69
NikoM,Argentina,"['TeamOne', 'Isurus', 'DETONA']",475,12189,864,1.11,8906,46.3,8042,0.73,0.66
trk,Brazil,"['TeamOne', 'MIBR']",790,20690,1485,1.11,15052,48.2,13567,0.73,0.66
hallzerk,Norway,"['Dignitas', 'Nordavind']",746,20275,1405,1.11,14681,34.1,13276,0.72,0.65
dycha,Poland,"['ENCE', 'Sprout', 'Aristocracy']",766,20522,1244,1.09,15005,53.8,13761,0.73,0.67
xand,Brazil,"['INTZ', 'Yeah']",515,13210,875,1.1,9681,50.2,8806,0.73,0.67
paz,Turkey,"['Space Soldiers', 'Sangal']",1068,27990,1998,1.11,20217,51.2,18219,0.72,0.65
CRUC1AL,Netherlands,"['Endpoint', 'Epsilon']",1461,38299,2796,1.11,27614,28.9,24818,0.72,0.65
InfrequeNt,Australia,"['Athletico', 'Tainted Minds', 'Chiefs']",479,12350,920,1.11,8937,33.8,8017,0.72,0.65
HObbit,Kazakhstan,"['Gambit', 'Winstrike']",1147,30237,2223,1.11,21968,46.6,19745,0.73,0.65
boltz,Brazil,"['Immortals', 'Luminosity', 'SK', 'MIBR']",1259,32756,2605,1.13,23379,39.4,20774,0.71,0.63
EspiranTo,Lithuania,"['Imperial', 'Valiance', 'CR4ZY', 'c0ntact']",871,22800,1316,1.08,16973,59.9,15656,0.74,0.69
WorldEdit,Russia,"['FlipSid3', 'pro100', 'Winstrike']",1328,34716,2476,1.11,25226,28,22750,0.73,0.66
QKA,China,"['5POWER', 'UYA', 'BOOT']",402,10409,702,1.1,7690,40.4,6988,0.74,0.67
FalleN,Brazil,"['SK', 'MIBR', 'Luminosity']",1538,40215,3654,1.15,27904,30.8,24250,0.69,0.6
somebody,China,['TYLOO'],1253,32437,2141,1.1,23702,45.8,21561,0.73,0.66
Brollan,Sweden,"['fnatic', 'GODSENT']",967,25710,1506,1.09,18732,52.5,17226,0.73,0.67
shroud,Canada,['Cloud9'],676,17460,1311,1.12,12588,52.9,11277,0.72,0.65
Pimp,Denmark,"['Dignitas', 'SK', 'Liquid', 'CPH Wolves']",976,25052,2016,1.13,18116,46.6,16100,0.72,0.64
fame,Russia,"['K23', 'SG.pro']",491,13123,854,1.1,9589,57.6,8735,0.73,0.67
hardzao,Brazil,"['paiN', 'DETONA']",655,17219,1454,1.14,12073,47.1,10619,0.7,0.62
anarkez,Israel,"['Finest', 'Secret']",666,17822,1223,1.11,12819,30.8,11596,0.72,0.65
roeJ,Denmark,"['Copenhagen Flames', 'MAD Lions', 'Tricked']",865,22846,1395,1.09,17051,55.5,15656,0.75,0.69
shz,Brazil,"['Luminosity', 'Imperial', 'MIBR', 'INTZ', 'BOOM']",794,20588,1444,1.11,14776,51.2,13332,0.72,0.65
chelo,Brazil,"['MIBR', 'INTZ', 'Luminosity']",872,22547,1412,1.1,16149,60.9,14737,0.72,0.65
DD,China,"['TYLOO', 'OneThree']",913,23620,1521,1.1,17368,41.9,15847,0.74,0.67
broky,Latvia,"['FaZe', 'Epsilon']",656,17484,1484,1.14,12148,38.6,10664,0.69,0.61
NikkeZ,Australia,"['Ground Zero', 'Athletico', 'Legacy']",399,10276,556,1.08,7677,46.5,7121,0.75,0.69
snatchie,Poland,"['AGO', 'Virtus.pro', 'Sprout']",1548,41527,2472,1.09,30062,29.3,27589,0.72,0.66
zhokiNg,China,"['ViCi', 'VG.CyberZen']",1197,30537,1457,1.07,22986,51,21529,0.75,0.71
ofnu,New Zealand,"['Tainted Minds', 'Chiefs', 'AVANT', 'Winterfox']",852,21778,1380,1.1,15793,48.9,14413,0.73,0.66
AnJ,Denmark,"['NRG', 'Singularity', 'Tricked']",403,10503,763,1.11,7530,50.7,6767,0.72,0.64
Ethan,United States,"['NRG', 'CLG', 'Evil Geniuses']",986,25998,1488,1.09,18853,49.4,17365,0.73,0.67
Happy,France,"['Envy', 'LDLC']",1464,37933,2745,1.11,28022,41.2,25277,0.74,0.67
acoR,Denmark,"['Tricked', 'North Academy', 'MAD Lions', 'MOUZ']",1057,27637,1982,1.11,19475,38.1,17493,0.7,0.63
b1t,Ukraine,"['Natus Vincere', 'NAVI Junior']",420,11153,806,1.11,7855,68.4,7049,0.7,0.63
SHiPZ,Bulgaria,"['SKADE', 'Windigo']",1645,43845,2140,1.07,32404,50,30264,0.74,0.69
COLDYY1,Ukraine,['Spirit'],947,24917,1718,1.11,17902,55.1,16184,0.72,0.65
flying,China,['Invictus'],393,10502,548,1.08,7736,50.7,7188,0.74,0.68
SLOWLY,China,"['TYLOO', 'EHOME']",523,13867,679,1.07,10108,59.4,9429,0.73,0.68
Valiance,Australia,"['ORDER', 'Paradox']",646,16727,1090,1.1,11723,51.5,10633,0.7,0.64
Skadoodle,United States,['Cloud9'],1047,27129,2458,1.15,18365,24.8,15907,0.68,0.59
pancc,Brazil,"['W7M', 'Sharks']",581,15327,787,1.08,11087,53.6,10300,0.72,0.67
b4rtiN,Brazil,"['GODSENT', 'TeamOne']",512,13404,869,1.1,9496,55.3,8627,0.71,0.64
koosta,United States,"['CLG', 'Ghost', 'Gen.G', 'Enemy']",977,25766,1341,1.08,18522,37.3,17181,0.72,0.67
Maka,France,"['Heretics', 'LDLC', '3DMAX']",1175,31236,2062,1.1,22108,36,20046,0.71,0.64
suNny,Finland,"['ENCE', 'MOUZ', 'PENTA']",1311,34560,1609,1.07,25460,47.4,23851,0.74,0.69
tucks,Australia,['Chiefs'],718,18208,1227,1.1,12952,43.9,11725,0.71,0.64
TOR,Thailand,"['Signature', 'Beyond']",452,11472,657,1.09,8271,28.9,7614,0.72,0.66
olofmeister,Sweden,"['fnatic', 'FaZe']",1560,40776,2696,1.1,29037,46.6,26340,0.71,0.65
malbsMd,Guatemala,"['TeamOne', 'Infinity']",525,13434,369,1.04,10096,62.9,9727,0.75,0.72
nexa,Serbia,"['G2', 'Valiance', 'Imperial']",1231,32586,2160,1.1,22808,51,20648,0.7,0.63
Gratisfaction,New Zealand,"['Grayhound', 'Renegades', '100 Thieves', 'Immunity', 'EXTREMUM']",897,23347,1689,1.12,16191,31.9,14502,0.69,0.62
KEi,Poland,"['AVEZ', 'Anonymo', 'Sprout']",633,17036,650,1.05,12649,46.4,11999,0.74,0.7
REDSTAR,Bulgaria,"['Fiend', 'Bpro']",614,16301,1143,1.11,11529,48.3,10386,0.71,0.64
rallen,Poland,"['Kinguin', 'AGO']",1745,46592,2994,1.1,33560,43,30566,0.72,0.66
Sobol,Poland,"['Wisla Krakow', 'PACT']",775,20957,1121,1.08,15028,52.1,13902,0.72,0.66
bottle,China,"['Invictus', 'Born Of Fire', 'Eclipse', '5POWER', 'CyberZen']",768,19801,871,1.06,14489,56.8,13618,0.73,0.69
iM,Romania,"['GamerLegion', 'Nexus']",763,20486,842,1.06,15153,48.7,14311,0.74,0.7
tabseN,Germany,"['BIG', 'PENTA', 'MOUZ']",1906,50299,1566,1.04,36872,48.9,35306,0.73,0.7
ISSAA,Jordan,"['HellRaisers', 'OG']",870,22834,1402,1.09,16229,55.5,14827,0.71,0.65
zeph,Australia,"['ORDER', 'Chiefs', 'Ground Zero']",555,14146,585,1.06,10452,48.7,9867,0.74,0.7
Rainwaker,Bulgaria,['SKADE'],1077,29055,1848,1.1,20281,42.5,18433,0.7,0.63
JW,Sweden,['fnatic'],1930,50719,2512,1.07,37047,36.6,34535,0.73,0.68
Ramz1kBO$$,Kazakhstan,"['Tengri', 'Syman']",425,11070,553,1.07,8110,33.8,7557,0.73,0.68
TeSeS,Denmark,"['Heroic', 'Copenhagen Flames']",799,21344,1033,1.07,15351,55.3,14318,0.72,0.67
HZ,China,"['TYLOO', 'CyberZen', 'AllGamers']",500,12856,691,1.08,9305,49.4,8614,0.72,0.67
cajunb,Denmark,"['North', 'TSM', 'OpTic', 'Dignitas']",1745,45680,2884,1.1,31980,41,29096,0.7,0.64
mou,Kazakhstan,"['Gambit', 'K23', 'HellRaisers', 'Syman']",1489,39475,2484,1.1,28048,28,25564,0.71,0.65
juanflatroo,Kosovo,"['BLINK', 'Secret']",532,14210,416,1.04,10762,57.2,10346,0.76,0.73
Grim,United States,"['Liquid', 'Triumph', 'Dignitas', 'Spacestation']",870,22901,783,1.05,16450,47.9,15667,0.72,0.68
sdy,Ukraine,['Spirit'],1054,27638,1872,1.11,19254,50.8,17382,0.7,0.63
KRIMZ,Sweden,['fnatic'],1772,46627,3043,1.1,32732,40.8,29689,0.7,0.64
Marcelious,Norway,"['Apeks', '777', 'NOREG']",464,12520,627,1.08,8902,31.2,8275,0.71,0.66
yay,United States,"['Complexity', 'Orgless']",653,17182,604,1.05,12452,46.7,11848,0.72,0.69
Qikert,Kazakhstan,"['AVANGAR', 'Virtus.pro']",1234,32625,1982,1.09,22914,56.4,20932,0.7,0.64
refrezh,Denmark,"['Heroic', 'Fragsters', 'Copenhagen Flames', 'Tricked', 'OpTic']",953,25375,1383,1.08,17918,49.4,16535,0.71,0.65
SicK,United States,"['Rogue', 'Misfits', 'TSM']",795,20701,1040,1.07,15002,49.8,13962,0.72,0.67
NEEX,Poland,"['Izako Boars', 'ESC']",429,11195,574,1.08,8076,31.3,7502,0.72,0.67
Aerial,Finland,"['HAVU', 'ENCE']",941,24972,1215,1.07,17881,41.6,16666,0.72,0.67
stavn,Denmark,"['Heroic', 'Fragsters']",1088,28991,1373,1.07,21088,43.1,19715,0.73,0.68
loWel,Spain,"['Movistar Riders', 'PENTA', 'MOUZ']",1008,26413,1739,1.1,18549,47.5,16810,0.7,0.64
Flarich,Latvia,"['HellRaisers', 'pro100']",1058,28161,1801,1.1,19389,55.2,17588,0.69,0.62
raafa,Brazil,"['W7M', 'Keyd']",640,16832,1092,1.1,11650,27.4,10558,0.69,0.63
Zellsis,United States,"['Swole Patrol', 'Lazarus']",626,16210,803,1.07,11657,46.4,10854,0.72,0.67
flusha,Sweden,['fnatic'],1868,49019,2712,1.08,34701,42,31989,0.71,0.65
WolfY,United States,"['ECSTATIC', 'Lyngby Vikings', 'Secret Club']",527,14037,993,1.11,9766,34.7,8773,0.7,0.62
rommi,Russia,"['Spirit Academy', 'HOLLYWOOD', 'PLINK', '1337']",516,13467,604,1.06,9899,50.8,9295,0.74,0.69
Bwills,United States,"['Triumph', 'Infamous']",747,19299,925,1.07,13698,51.4,12773,0.71,0.66
cadiaN,Denmark,"['Heroic', 'Rogue', 'SK']",1443,38127,2478,1.1,26511,27.6,24033,0.7,0.63
kabal,Mongolia,"['5POWER', 'TheMongolz', 'TIGER']",771,20216,1111,1.08,14338,46,13227,0.71,0.65
malta,Australia,"['Grayhound', 'Chiefs', 'Renegades']",989,25205,1445,1.09,17507,39.7,16062,0.69,0.64
MarKE,Mexico,"['Extra Salt', 'eUnited', 'Swole Patrol']",926,23830,1348,1.09,16750,53.1,15402,0.7,0.65
Swahn,United States,"['Bad News Bears', 'iNTACT', 'Detonate', 'Bushido Boyz']",374,9836,558,1.09,6902,25.5,6344,0.7,0.64
Kjaerbye,Denmark,"['North', 'Dignitas', 'Astralis']",1519,39947,2110,1.08,28410,52.9,26300,0.71,0.66
afro,France,"['HEET', 'DBL PONEY', 'LDLC']",547,14615,806,1.09,10077,35.3,9271,0.69,0.63
FASHR,Netherlands,"['ECSTATIC', 'Lyngby Vikings', 'Defusekids']",689,18214,641,1.05,13083,49,12442,0.72,0.68
n0rb3r7,Russia,"['K23', 'Winstrike', 'Syman']",1049,28055,829,1.04,20194,50.8,19365,0.72,0.69
DavCost,Russia,"['INDE IRAE', 'Spirit', '1WIN']",1249,32934,1838,1.09,23087,32.5,21249,0.7,0.65
zewsy,New Zealand,"['Tainted Minds', 'Chiefs', 'Winterfox']",618,15666,667,1.06,11142,41,10475,0.71,0.67
