nick,country,teams,maps_played,rounds_played,kd_difference,kd_ratio,total_kills,headshot_percentage,total_deaths,kills_per_round,deaths_per_round
oxygeN,Bulgaria,['SKADE'],507,13623,-446,0.95,8532,59.3,8978,0.63,0.66
Karsa,China,"['Flash', 'OneThree', 'EHOME']",457,11674,-290,0.96,7360,48.7,7650,0.63,0.66
arvid,Finland,['SJ'],892,23926,-1030,0.94,15577,44.8,16607,0.65,0.69
Inzta,Denmark,"['Tricked', 'Singularity']",754,19798,-849,0.94,12779,43.9,13628,0.65,0.69
Rock1nG,Bulgaria,"['SKADE', 'Outlaws', 'Bpro']",883,23271,-1025,0.94,15257,55.3,16282,0.66,0.7
uNdo,Belarus,"['Unique', 'Quantum Bellator Fire', 'Space Jam']",432,11267,-371,0.95,7217,54.3,7588,0.64,0.67
vSa,Canada,"['Rise Nation', 'Vision', 'Ghost']",385,10066,-322,0.95,6351,42.5,6673,0.63,0.66
Fifflaren,Sweden,['NIP'],538,13220,-40,0.99,7894,37.5,7934,0.6,0.6
boX,Belarus,"['Nemiga', 'GoodJob']",1246,33181,-1301,0.94,21451,43.7,22752,0.65,0.69
kzy,Germany,"['EURONICS', 'ALTERNATE aTTaX', 'Unicorns of Love']",986,25705,-845,0.95,16400,47.6,17245,0.64,0.67
TOAO,Poland,"['AGO', 'Izako Boars']",1103,29449,-1056,0.95,18679,48,19735,0.63,0.67
SileNt,United States,"['Swole Patrol', 'Method', 'NRG']",624,16235,-788,0.93,10751,36.1,11539,0.66,0.71
Twixie,Finland,"['KOVA', 'HAVU']",745,20248,-747,0.95,12849,48.1,13596,0.63,0.67
tonyblack,Russia,['Spirit'],826,21699,-725,0.95,13828,48.6,14553,0.64,0.67
BRACE,Australia,['VERTEX'],393,10219,-437,0.94,6566,47.9,7003,0.64,0.69
rafftu,Bulgaria,"['SKADE', 'Bpro', 'FATE']",491,13172,-517,0.94,8502,51.9,9019,0.65,0.68
arch,Ukraine,"['Preparation', 'Spirit', 'Worst Players']",593,15530,-658,0.94,10295,49,10953,0.66,0.71
Sidney,Poland,"['UNGENTIUM', 'AGO', 'PACT', 'Illuminar']",443,11990,-395,0.95,7423,50.1,7818,0.62,0.65
